transactionitemid,transactionid,productid,quantity,unitprice
83880,45275,14,1,5.28
83881,45276,13,1,5.73
83882,45276,16,1,0.69
83883,45277,13,1,5.99
83884,45278,5,2,5.51
83885,45279,4,1,5.93
83886,45280,1,1,4.87
83887,45280,2,2,5.41
83888,45280,3,1,5.41
83889,45281,8,1,4.83
83890,45281,9,1,5.31
83891,45281,16,1,0.67
83892,45282,10,1,5.33
83893,45283,9,1,5.40
83894,45283,13,2,6.03
83895,45284,14,2,5.56
83896,45284,16,1,0.67
83897,45285,9,1,5.16
83898,45286,15,1,5.10
83899,45287,12,1,5.31
83900,45288,9,1,5.32
83901,45288,4,2,5.92
83902,45288,3,1,5.44
83903,45289,7,1,4.42
83904,45290,12,1,5.30
83905,45291,12,1,5.22
83906,45291,7,1,4.46
83907,45292,1,1,4.90
83908,45293,4,2,5.89
83909,45293,9,2,5.20
83910,45294,14,1,5.41
83911,45295,2,1,5.41
83912,45295,4,1,5.89
83913,45295,16,1,0.68
83914,45296,3,1,5.34
83915,45297,5,1,5.33
83916,45297,4,1,5.92
83917,45298,2,1,5.39
83918,45298,12,2,5.33
83919,45299,3,1,5.58
83920,45299,2,1,5.47
83921,45300,9,1,5.23
83922,45300,16,1,0.69
83923,45301,11,1,5.26
83924,45302,13,1,5.73
83925,45302,4,2,5.75
83926,45302,2,2,5.32
83927,45302,12,1,5.13
83928,45303,3,1,5.54
83929,45304,1,1,4.87
83930,45305,2,1,5.27
83931,45305,4,1,5.82
83932,45305,6,1,4.72
83933,45305,2,1,5.31
83934,45306,5,1,5.37
83935,45306,15,1,5.32
83936,45307,4,1,5.89
83937,45308,4,1,6.03
83938,45308,1,1,5.03
83939,45309,12,1,5.13
83940,45310,15,1,5.35
83941,45311,5,2,5.51
83942,45311,16,1,0.70
83943,45312,16,1,0.66
83944,45312,5,2,5.33
83945,45312,14,2,5.41
83946,45313,4,1,6.00
83947,45314,3,1,5.49
83948,45315,5,1,5.51
83949,45316,11,1,5.32
83950,45317,1,1,5.10
83951,45318,3,1,5.41
83952,45318,3,1,5.54
83953,45319,5,1,5.54
83954,45320,3,1,5.29
83955,45320,14,1,5.27
83956,45320,5,1,5.47
83957,45321,5,2,5.32
83958,45321,16,1,0.67
83959,45322,9,1,5.26
83960,45323,12,1,5.22
83961,45323,16,1,0.68
83962,45324,13,2,5.71
83963,45324,9,1,5.13
83964,45325,4,1,5.83
83965,45326,2,1,5.38
83966,45327,5,1,5.51
83967,45327,9,1,5.15
83968,45327,13,1,5.76
83969,45328,1,1,4.89
83970,45329,14,1,5.42
83971,45330,3,1,5.55
83972,45331,10,1,5.20
83973,45331,4,2,5.75
83974,45332,9,1,5.35
83975,45332,5,1,5.48
83976,45332,4,1,5.98
83977,45333,9,1,5.36
83978,45333,7,2,4.59
83979,45333,5,1,5.53
83980,45333,16,1,0.66
83981,45334,8,1,4.76
83982,45334,16,1,0.69
83983,45335,2,1,5.55
83984,45335,3,1,5.46
83985,45336,7,2,4.64
83986,45337,14,1,5.32
83987,45338,1,1,5.11
83988,45338,3,1,5.46
83989,45338,14,1,5.27
83990,45339,2,1,5.44
83991,45339,3,1,5.47
83992,45340,8,1,4.93
83993,45341,10,1,5.39
83994,45342,8,1,4.67
83995,45342,9,1,5.11
83996,45342,16,1,0.66
83997,45342,5,2,5.49
83998,45342,16,1,0.68
83999,45343,9,1,5.13
84000,45343,16,1,0.70
84001,45343,11,1,5.38
84002,45343,5,1,5.59
84003,45343,16,1,0.68
84004,45344,8,1,4.73
84005,45344,10,1,5.30
84006,45344,16,1,0.70
84007,45345,16,1,0.70
84008,45345,11,1,5.36
84009,45345,16,1,0.67
84010,45346,8,1,4.82
84011,45347,5,1,5.53
84012,45348,3,1,5.58
84013,45349,11,1,5.09
84014,45349,12,1,5.22
84015,45349,7,1,4.51
84016,45349,16,1,0.69
84017,45350,11,1,5.12
84018,45350,1,1,5.01
84019,45350,1,1,5.01
84020,45350,16,1,0.67
84021,45351,1,1,4.93
84022,45352,6,2,4.89
84023,45352,7,2,4.38
84024,45353,5,1,5.31
84025,45354,15,1,5.26
84026,45354,16,1,0.68
84027,45355,11,1,5.24
84028,45355,16,1,0.66
84029,45356,16,1,0.70
84030,45356,7,1,4.59
84031,45357,11,2,5.34
84032,45358,2,1,5.32
84033,45358,3,2,5.40
84034,45359,8,1,4.74
84035,45359,7,1,4.57
84036,45359,8,1,4.73
84037,45360,7,1,4.39
84038,45360,3,1,5.47
84039,45361,13,1,6.03
84040,45361,8,1,4.76
84041,45361,1,1,5.09
84042,45362,2,1,5.29
84043,45363,11,1,5.10
84044,45363,2,2,5.31
84045,45364,8,1,4.91
84046,45365,15,1,5.39
84047,45366,4,1,6.02
84048,45367,15,1,5.32
84049,45367,15,1,5.27
84050,45367,4,1,5.84
84051,45367,15,1,5.21
84052,45368,14,1,5.51
84053,45368,16,1,0.66
84054,45369,8,1,4.90
84055,45369,7,1,4.60
84056,45369,10,1,5.35
84057,45370,5,2,5.51
84058,45371,13,1,5.87
84059,45371,2,2,5.56
84060,45372,13,1,5.70
84061,45373,2,1,5.39
84062,45374,2,1,5.43
84063,45375,10,1,5.24
84064,45375,5,2,5.51
84065,45376,6,1,4.67
84066,45377,8,1,4.91
84067,45378,4,1,5.83
84068,45378,14,1,5.48
84069,45378,3,1,5.48
84070,45378,16,1,0.68
84071,45379,12,1,5.18
84072,45379,16,1,0.67
84073,45380,9,1,5.15
84074,45381,11,1,5.28
84075,45381,16,1,0.69
84076,45382,15,1,5.13
84077,45383,1,1,4.91
84078,45383,2,1,5.51
84079,45383,14,1,5.50
84080,45384,15,1,5.26
84081,45384,16,1,0.67
84082,45385,13,1,5.78
84083,45385,3,1,5.40
84084,45385,7,1,4.38
84085,45386,4,1,5.73
84086,45386,8,2,4.90
84087,45386,16,1,0.67
84088,45387,5,1,5.35
84089,45388,1,1,5.08
84090,45388,4,1,5.90
84091,45389,10,1,5.32
84092,45390,14,1,5.55
84093,45390,10,1,5.18
84094,45391,3,1,5.41
84095,45391,4,1,5.96
84096,45392,6,1,4.68
84097,45393,14,1,5.29
84098,45393,3,1,5.54
84099,45394,14,1,5.34
84100,45394,1,1,4.93
84101,45395,9,1,5.36
84102,45395,16,1,0.69
84103,45396,8,1,4.89
84104,45397,4,1,5.97
84105,45397,3,1,5.39
84106,45397,8,1,4.82
84107,45398,7,2,4.50
84108,45398,16,1,0.66
84109,45399,2,2,5.28
84110,45399,5,1,5.36
84111,45399,15,2,5.15
84112,45399,8,2,4.82
84113,45400,3,1,5.49
84114,45400,16,1,0.69
84115,45401,11,2,5.29
84116,45401,16,1,0.66
84117,45402,14,1,5.55
84118,45402,16,1,0.67
84119,45402,16,1,0.70
84120,45403,13,1,5.74
84121,45403,2,1,5.42
84122,45403,16,1,0.70
84123,45404,7,1,4.39
84124,45405,6,1,4.89
84125,45405,9,1,5.25
84126,45405,16,1,0.70
84127,45405,5,1,5.31
84128,45405,16,1,0.66
84129,45406,5,1,5.29
84130,45407,11,1,5.36
84131,45408,12,1,5.16
84132,45409,10,1,5.33
84133,45409,6,1,4.83
84134,45409,8,1,4.75
84135,45410,1,1,4.84
84136,45411,14,1,5.42
84137,45411,8,1,4.82
84138,45412,1,1,4.98
84139,45412,14,1,5.27
84140,45413,14,1,5.43
84141,45414,14,1,5.32
84142,45414,2,2,5.30
84143,45415,10,2,5.19
84144,45415,6,1,4.76
84145,45415,5,1,5.52
84146,45416,8,1,4.71
84147,45417,5,1,5.47
84148,45417,2,1,5.42
84149,45418,1,1,4.88
84150,45418,12,1,5.20
84151,45419,6,1,4.85
84152,45420,2,1,5.51
84153,45420,1,1,5.09
84154,45421,8,1,4.67
84155,45422,4,1,6.03
84156,45422,10,1,5.14
84157,45422,7,1,4.47
84158,45423,15,1,5.16
84159,45424,13,1,6.05
84160,45425,2,1,5.53
84161,45425,11,1,5.31
84162,45425,16,1,0.69
84163,45426,11,1,5.15
84164,45426,9,2,5.20
84165,45426,2,1,5.41
84166,45427,6,1,4.80
84167,45428,1,1,5.03
84168,45429,8,1,4.82
84169,45429,16,1,0.66
84170,45430,8,1,4.80
84171,45430,16,1,0.68
84172,45432,5,1,5.32
84173,45432,11,1,5.14
84174,45432,3,1,5.38
84175,45433,2,1,5.55
84176,45433,16,1,0.66
84177,45434,2,1,5.50
84178,45435,16,1,0.70
84179,45436,9,1,5.15
84180,45437,12,1,5.09
84181,45437,16,2,0.68
84182,45437,10,1,5.25
84183,45437,16,1,0.66
84184,45438,6,2,4.76
84185,45438,16,1,0.69
84186,45439,15,1,5.20
84187,45440,11,2,5.22
84188,45440,16,1,0.69
84189,45441,10,2,5.32
84190,45441,8,1,4.94
84191,45442,14,1,5.37
84192,45443,2,1,5.45
84193,45443,16,1,0.66
84194,45444,1,1,4.94
84195,45445,6,2,4.72
84196,45445,5,1,5.54
84197,45445,16,1,0.68
84198,45446,1,1,5.02
84199,45446,6,1,4.76
84200,45447,12,1,5.34
84201,45447,9,1,5.29
84202,45447,5,1,5.33
84203,45447,10,1,5.11
84204,45448,10,1,5.37
84205,45449,2,2,5.40
84206,45449,16,1,0.66
84207,45450,12,2,5.31
84208,45451,6,2,4.74
84209,45451,16,1,0.69
84210,45452,5,1,5.46
84211,45452,3,1,5.48
84212,45452,16,1,0.67
84213,45453,2,1,5.38
84214,45453,9,1,5.24
84215,45454,4,1,5.93
84216,45454,2,1,5.53
84217,45455,13,1,5.77
84218,45455,15,1,5.28
84219,45456,10,1,5.37
84220,45456,4,1,5.92
84221,45457,15,1,5.33
84222,45457,16,1,0.66
84223,45458,13,1,5.78
84224,45458,14,1,5.48
84225,45458,13,1,5.84
84226,45458,11,1,5.38
84227,45459,7,1,4.62
84228,45459,9,1,5.31
84229,45460,2,2,5.31
84230,45461,13,1,5.76
84231,45461,2,1,5.26
84232,45462,4,1,5.87
84233,45463,5,1,5.47
84234,45464,2,1,5.52
84235,45465,11,1,5.31
84236,45465,6,2,4.65
84237,45465,6,1,4.85
84238,45465,16,1,0.70
84239,45467,12,1,5.27
84240,45468,7,2,4.54
84241,45469,3,2,5.41
84242,45470,13,1,6.03
84243,45470,1,1,4.86
84244,45470,13,1,6.05
84245,45470,16,1,0.70
84246,45471,4,1,5.80
84247,45473,13,1,6.04
84248,45473,14,1,5.27
84249,45473,11,1,5.36
84250,45473,15,1,5.11
84251,45474,6,1,4.65
84252,45475,2,1,5.40
84253,45476,2,1,5.28
84254,45477,12,1,5.22
84255,45477,14,1,5.31
84256,45479,1,1,4.89
84257,45479,16,1,0.69
84258,45480,1,1,4.95
84259,45481,6,2,4.84
84260,45482,11,1,5.09
84261,45482,16,1,0.69
84262,45483,2,1,5.41
84263,45483,9,1,5.21
84264,45483,12,1,5.09
84265,45483,10,1,5.19
84266,45484,2,1,5.27
84267,45485,9,1,5.40
84268,45486,2,1,5.37
84269,45486,3,1,5.45
84270,45486,1,1,4.84
84271,45487,14,1,5.33
84272,45487,3,2,5.54
84273,45487,1,1,4.96
84274,45488,10,1,5.15
84275,45489,8,1,4.67
84276,45489,1,1,4.86
84277,45489,5,1,5.51
84278,45489,16,1,0.67
84279,45490,6,1,4.73
84280,45490,14,1,5.55
84281,45490,12,2,5.37
84282,45491,14,1,5.45
84283,45492,13,1,5.79
84284,45492,1,1,4.97
84285,45493,16,1,0.66
84286,45493,13,2,5.80
84287,45493,10,1,5.37
84288,45494,2,1,5.35
84289,45494,4,1,5.73
84290,45495,6,1,4.79
84291,45496,8,1,4.66
84292,45497,6,1,4.65
84293,45498,12,1,5.40
84294,45498,3,1,5.47
84295,45499,13,1,5.96
84296,45499,1,1,5.01
84297,45500,3,1,5.46
84298,45500,15,1,5.13
84299,45501,12,1,5.23
84300,45501,5,1,5.37
84301,45501,16,1,0.70
84302,45502,10,2,5.11
84303,45502,7,1,4.45
84304,45502,4,1,5.89
84305,45502,1,2,5.03
84306,45503,10,2,5.32
84307,45504,4,1,6.05
84308,45504,11,2,5.32
84309,45504,16,1,0.68
84310,45505,6,1,4.88
84311,45505,16,1,0.70
84312,45506,8,2,4.66
84313,45507,1,1,4.98
84314,45507,4,2,5.89
84315,45507,7,1,4.39
84316,45508,13,1,5.89
84317,45508,10,1,5.22
84318,45508,5,2,5.45
84319,45508,3,1,5.37
84320,45508,16,1,0.66
84321,45509,9,1,5.39
84322,45509,3,2,5.49
84323,45509,16,1,0.70
84324,45510,16,1,0.68
84325,45510,8,1,4.69
84326,45510,3,1,5.34
84327,45511,1,1,4.91
84328,45512,15,1,5.15
84329,45513,2,1,5.47
84330,45513,16,1,0.67
84331,45514,16,1,0.70
84332,45514,16,1,0.70
84333,45515,11,2,5.13
84334,45515,16,1,0.70
84335,45516,1,1,4.93
84336,45517,6,1,4.76
84337,45518,12,1,5.32
84338,45519,7,1,4.58
84339,45520,15,1,5.31
84340,45521,15,1,5.17
84341,45521,2,1,5.42
84342,45521,2,1,5.37
84343,45521,9,1,5.17
84344,45522,9,1,5.36
84345,45522,9,1,5.10
84346,45522,16,1,0.67
84347,45523,11,1,5.17
84348,45523,9,1,5.37
84349,45523,16,1,0.68
84350,45524,3,1,5.56
84351,45525,2,1,5.27
84352,45526,11,1,5.16
84353,45526,10,1,5.09
84354,45527,11,1,5.38
84355,45527,3,1,5.41
84356,45528,10,1,5.40
84357,45528,8,1,4.71
84358,45528,11,1,5.20
84359,45528,5,1,5.29
84360,45529,16,2,0.67
84361,45530,6,1,4.87
84362,45531,4,1,5.78
84363,45531,6,1,4.84
84364,45531,4,1,5.99
84365,45531,16,1,0.68
84366,45532,2,1,5.55
84367,45532,4,2,6.01
84368,45533,11,1,5.14
84369,45533,1,1,5.06
84370,45534,1,1,5.04
84371,45536,4,1,5.97
84372,45537,2,1,5.51
84373,45538,3,2,5.31
84374,45538,16,1,0.67
84375,45539,10,2,5.25
84376,45539,10,1,5.38
84377,45539,9,2,5.35
84378,45540,10,1,5.24
84379,45540,10,1,5.37
84380,45541,12,1,5.38
84381,45542,16,1,0.70
84382,45543,2,1,5.57
84383,45544,11,1,5.35
84384,45545,15,1,5.22
84385,45546,12,1,5.35
84386,45546,7,1,4.59
84387,45547,6,1,4.89
84388,45548,2,1,5.47
84389,45549,13,1,5.93
84390,45550,14,2,5.28
84391,45550,3,1,5.32
84392,45550,2,1,5.31
84393,45550,9,1,5.31
84394,45551,1,1,4.84
84395,45551,16,1,0.70
84396,45552,7,1,4.38
84397,45552,16,1,0.70
84398,45553,1,1,4.84
84399,45554,11,2,5.13
84400,45554,8,1,4.79
84401,45555,13,1,6.00
84402,45556,15,1,5.22
84403,45556,3,1,5.28
84404,45557,15,1,5.29
84405,45558,4,1,5.94
84406,45559,5,1,5.27
84407,45560,12,2,5.36
84408,45561,4,1,5.80
84409,45562,4,1,5.74
84410,45562,5,1,5.32
84411,45562,7,1,4.46
84412,45563,11,1,5.18
84413,45563,16,1,0.67
84414,45564,6,1,4.70
84415,45564,16,1,0.69
84416,45565,2,1,5.40
84417,45565,5,1,5.56
84418,45565,15,1,5.39
84419,45565,16,1,0.70
84420,45566,5,2,5.47
84421,45566,3,1,5.42
84422,45566,2,1,5.35
84423,45567,16,1,0.68
84424,45567,12,1,5.31
84425,45567,16,1,0.70
84426,45568,1,1,4.90
84427,45568,11,1,5.20
84428,45568,7,1,4.50
84429,45568,2,2,5.33
84430,45568,16,1,0.69
84431,45569,1,1,4.92
84432,45570,3,2,5.42
84433,45571,3,1,5.50
84434,45571,2,1,5.55
84435,45571,15,1,5.20
84436,45571,12,1,5.32
84437,45572,3,1,5.41
84438,45572,14,1,5.41
84439,45573,5,1,5.40
84440,45573,8,1,4.84
84441,45573,5,1,5.31
84442,45574,16,1,0.68
84443,45574,16,1,0.66
84444,45575,5,1,5.34
84445,45576,7,1,4.52
84446,45576,16,1,0.68
84447,45577,6,1,4.84
84448,45577,15,1,5.33
84449,45577,3,1,5.36
84450,45577,7,1,4.50
84451,45578,1,1,4.94
84452,45578,10,1,5.24
84453,45578,4,1,5.87
84454,45579,2,1,5.31
84455,45579,8,1,4.74
84456,45580,10,1,5.32
84457,45580,16,1,0.70
84458,45581,14,1,5.30
84459,45581,1,1,5.00
84460,45582,13,1,5.79
84461,45583,2,1,5.42
84462,45584,1,1,4.94
84463,45585,15,1,5.26
84464,45585,16,1,0.66
84465,45585,16,1,0.70
84466,45586,6,1,4.75
84467,45586,16,1,0.68
84468,45587,4,1,5.99
84469,45588,5,1,5.49
84470,45589,9,2,5.29
84471,45589,2,1,5.51
84472,45589,12,1,5.36
84473,45590,5,2,5.46
84474,45591,6,1,4.73
84475,45592,16,1,0.68
84476,45592,16,1,0.66
84477,45593,2,1,5.47
84478,45593,13,1,5.88
84479,45594,10,1,5.21
84480,45594,16,2,0.68
84481,45594,16,1,0.67
84482,45595,16,1,0.67
84483,45596,9,1,5.20
84484,45597,3,1,5.49
84485,45597,2,1,5.57
84486,45597,16,1,0.68
84487,45598,12,1,5.30
84488,45598,3,1,5.35
84489,45598,16,1,0.67
84490,45599,2,1,5.32
84491,45599,2,1,5.53
84492,45600,3,1,5.56
84493,45601,9,2,5.39
84494,45601,1,1,4.94
84495,45602,9,1,5.27
84496,45602,3,1,5.39
84497,45603,5,1,5.56
84498,45603,12,1,5.12
84499,45603,16,1,0.68
84500,45604,10,1,5.22
84501,45604,9,1,5.34
84502,45605,8,1,4.93
84503,45605,10,1,5.23
84504,45605,2,2,5.27
84505,45606,9,1,5.26
84506,45607,8,1,4.85
84507,45607,16,1,0.69
84508,45607,2,1,5.34
84509,45608,13,1,5.99
84510,45609,10,1,5.29
84511,45610,1,1,4.83
84512,45610,12,1,5.13
84513,45611,13,1,5.82
84514,45611,16,1,0.66
84515,45612,6,1,4.87
84516,45613,14,1,5.29
84517,45613,2,2,5.45
84518,45614,2,1,5.51
84519,45614,11,1,5.37
84520,45614,16,1,0.70
84521,45615,12,1,5.29
84522,45616,14,1,5.31
84523,45617,6,1,4.79
84524,45617,12,1,5.11
84525,45618,9,1,5.32
84526,45619,2,1,5.27
84527,45619,16,1,0.66
84528,45620,13,2,5.79
84529,45620,4,1,5.96
84530,45621,9,2,5.18
84531,45621,8,1,4.73
84532,45621,16,1,0.66
84533,45622,12,1,5.37
84534,45622,11,2,5.31
84535,45623,9,1,5.28
84536,45624,16,1,0.67
84537,45625,10,1,5.11
84538,45626,5,1,5.41
84539,45626,2,1,5.39
84540,45627,2,2,5.41
84541,45628,5,1,5.26
84542,45628,4,1,5.86
84543,45628,16,1,0.68
84544,45629,2,1,5.40
84545,45629,11,1,5.36
84546,45630,14,1,5.39
84547,45630,16,1,0.68
84548,45631,5,1,5.51
84549,45632,9,1,5.32
84550,45633,6,1,4.93
84551,45633,16,1,0.69
84552,45634,11,2,5.20
84553,45634,6,2,4.72
84554,45634,16,1,0.66
84555,45635,4,1,5.75
84556,45635,2,2,5.54
84557,45636,4,1,5.99
84558,45636,8,1,4.66
84559,45636,9,1,5.37
84560,45636,4,1,5.98
84561,45637,16,2,0.69
84562,45638,14,1,5.51
84563,45638,8,1,4.86
84564,45639,11,1,5.31
84565,45640,6,1,4.89
84566,45640,4,2,5.99
84567,45640,2,1,5.28
84568,45641,6,1,4.68
84569,45641,16,1,0.66
84570,45642,5,2,5.42
84571,45642,2,2,5.52
84572,45643,1,1,4.84
84573,45644,11,1,5.10
84574,45645,12,1,5.13
84575,45646,3,1,5.46
84576,45646,16,1,0.70
84577,45647,11,2,5.16
84578,45647,16,1,0.68
84579,45648,2,1,5.54
84580,45649,16,1,0.69
84581,45649,6,1,4.92
84582,45650,10,2,5.22
84583,45651,2,1,5.58
84584,45651,16,1,0.70
84585,45652,6,1,4.66
84586,45652,3,1,5.39
84587,45653,2,2,5.54
84588,45653,4,1,5.89
84589,45653,9,1,5.20
84590,45654,2,1,5.44
84591,45654,15,1,5.15
84592,45654,11,1,5.35
84593,45654,6,2,4.77
84594,45655,2,2,5.43
84595,45656,1,1,4.94
84596,45656,16,1,0.68
84597,45657,1,1,4.94
84598,45658,10,2,5.37
84599,45658,16,1,0.66
84600,45658,8,1,4.68
84601,45659,5,1,5.45
84602,45660,1,2,4.94
84603,45660,12,1,5.30
84604,45661,8,1,4.84
84605,45661,3,2,5.32
84606,45661,13,2,5.81
84607,45661,16,1,0.67
84608,45662,12,1,5.25
84609,45662,4,1,5.78
84610,45662,16,1,0.67
84611,45663,3,1,5.51
84612,45663,1,1,4.94
84613,45663,10,1,5.19
84614,45663,9,1,5.39
84615,45663,16,1,0.70
84616,45664,9,1,5.12
84617,45664,11,1,5.34
84618,45664,9,1,5.31
84619,45665,1,1,5.05
84620,45665,1,1,4.89
84621,45665,14,1,5.52
84622,45666,11,1,5.29
84623,45667,2,1,5.42
84624,45667,4,1,5.99
84625,45668,15,2,5.39
84626,45669,6,1,4.87
84627,45670,3,1,5.40
84628,45671,4,1,5.78
84629,45671,3,2,5.51
84630,45671,9,1,5.36
84631,45671,16,1,0.70
84632,45672,9,1,5.24
84633,45672,16,1,0.68
84634,45673,15,2,5.22
84635,45673,16,1,0.67
84636,45674,1,1,4.91
84637,45676,12,1,5.20
84638,45676,16,1,0.67
84639,45677,7,1,4.65
84640,45677,1,1,5.09
84641,45678,1,2,4.96
84642,45679,6,1,4.91
84643,45679,4,1,5.95
84644,45679,10,1,5.32
84645,45680,3,1,5.49
84646,45680,2,2,5.30
84647,45681,10,1,5.13
84648,45681,16,1,0.67
84649,45682,5,2,5.34
84650,45682,7,1,4.40
84651,45682,9,1,5.22
84652,45683,3,1,5.36
84653,45684,5,2,5.27
84654,45684,9,1,5.31
84655,45684,14,1,5.36
84656,45685,10,1,5.35
84657,45685,8,1,4.87
84658,45686,10,1,5.28
84659,45687,2,1,5.57
84660,45688,7,2,4.50
84661,45688,11,1,5.16
84662,45689,12,1,5.16
84663,45690,16,2,0.70
84664,45691,13,1,5.87
84665,45691,1,2,4.94
84666,45691,5,2,5.43
84667,45691,16,1,0.67
84668,45692,2,1,5.47
84669,45692,2,1,5.51
84670,45693,5,1,5.53
84671,45694,10,1,5.22
84672,45694,11,1,5.37
84673,45694,16,1,0.67
84674,45695,15,2,5.35
84675,45695,2,1,5.46
84676,45695,16,1,0.67
84677,45696,11,1,5.15
84678,45696,4,1,5.76
84679,45696,13,1,5.72
84680,45696,8,1,4.85
84681,45697,4,1,5.70
84682,45698,6,1,4.66
84683,45699,3,1,5.32
84684,45700,7,1,4.46
84685,45700,16,1,0.66
84686,45701,8,1,4.83
84687,45701,16,1,0.68
84688,45702,6,1,4.79
84689,45703,1,1,4.93
84690,45703,16,1,0.68
84691,45704,4,1,5.79
84692,45704,10,1,5.36
84693,45705,5,1,5.54
84694,45705,12,2,5.35
84695,45706,3,1,5.33
84696,45706,3,2,5.45
84697,45706,6,1,4.92
84698,45706,5,2,5.38
84699,45709,12,1,5.37
84700,45710,2,1,5.28
84701,45711,5,2,5.31
84702,45711,16,1,0.68
84703,45712,14,1,5.28
84704,45712,10,2,5.33
84705,45713,13,1,5.95
84706,45714,2,1,5.44
84707,45714,10,1,5.20
84708,45714,8,1,4.67
84709,45714,3,1,5.32
84710,45715,7,1,4.60
84711,45715,4,1,5.74
84712,45716,15,1,5.19
84713,45716,16,1,0.69
84714,45717,11,1,5.23
84715,45718,16,1,0.69
84716,45719,3,1,5.35
84717,45720,2,1,5.49
84718,45720,4,2,6.03
84719,45721,4,1,5.94
84720,45722,4,1,5.71
84721,45722,3,1,5.57
84722,45723,6,1,4.72
84723,45723,5,1,5.40
84724,45723,16,1,0.68
84725,45724,4,1,5.74
84726,45725,4,2,6.04
84727,45725,2,1,5.48
84728,45726,6,2,4.76
84729,45727,3,1,5.51
84730,45727,10,1,5.13
84731,45728,16,1,0.70
84732,45729,1,1,4.94
84733,45730,2,1,5.36
84734,45731,3,1,5.36
84735,45732,13,1,6.01
84736,45732,5,1,5.51
84737,45732,2,1,5.41
84738,45733,6,2,4.66
84739,45734,9,1,5.33
84740,45734,5,1,5.58
84741,45734,9,1,5.15
84742,45735,12,1,5.21
84743,45735,3,1,5.27
84744,45735,7,1,4.41
84745,45736,11,1,5.09
84746,45736,16,1,0.67
84747,45737,1,1,5.10
84748,45737,16,1,0.67
84749,45738,7,2,4.56
84750,45738,16,1,0.66
84751,45739,16,1,0.67
84752,45740,3,1,5.52
84753,45740,3,1,5.45
84754,45741,10,2,5.32
84755,45741,8,1,4.65
84756,45741,4,1,5.89
84757,45742,12,1,5.15
84758,45743,15,2,5.34
84759,45744,5,1,5.37
84760,45744,1,2,5.06
84761,45745,8,2,4.90
84762,45745,1,1,4.90
84763,45746,4,1,5.87
84764,45746,4,1,6.00
84765,45746,10,1,5.16
84766,45746,1,1,5.01
84767,45746,16,1,0.69
84768,45747,12,1,5.32
84769,45747,16,1,0.70
84770,45748,11,1,5.29
84771,45749,13,1,5.85
84772,45750,14,2,5.46
84773,45750,4,1,5.97
84774,45751,5,2,5.27
84775,45751,2,2,5.58
84776,45751,16,1,0.67
84777,45752,14,1,5.33
84778,45753,12,1,5.10
84779,45753,11,1,5.30
84780,45753,3,1,5.49
84781,45754,10,1,5.26
84782,45754,11,1,5.32
84783,45755,14,1,5.49
84784,45755,3,1,5.29
84785,45755,16,1,0.68
84786,45756,11,1,5.38
84787,45757,3,1,5.42
84788,45758,5,1,5.42
84789,45758,11,1,5.22
84790,45758,16,1,0.67
84791,45759,12,2,5.20
84792,45760,9,1,5.30
84793,45761,1,1,5.06
84794,45761,14,1,5.39
84795,45761,7,2,4.43
84796,45762,1,1,5.12
84797,45762,10,2,5.28
84798,45762,16,1,0.68
84799,45763,11,1,5.23
84800,45764,3,1,5.34
84801,45764,12,1,5.20
84802,45764,5,1,5.40
84803,45765,4,1,5.92
84804,45765,4,1,5.98
84805,45766,7,1,4.57
84806,45767,4,1,5.99
84807,45767,14,2,5.52
84808,45768,3,1,5.51
84809,45768,16,1,0.70
84810,45768,15,1,5.19
84811,45768,14,1,5.32
84812,45769,7,1,4.48
84813,45770,8,1,4.91
84814,45770,4,1,5.74
84815,45771,14,2,5.40
84816,45771,14,1,5.32
84817,45771,1,1,4.83
84818,45771,16,1,0.68
84819,45772,10,1,5.38
84820,45772,5,1,5.46
84821,45773,14,2,5.36
84822,45774,6,1,4.79
84823,45775,8,1,4.86
84824,45775,15,1,5.10
84825,45776,14,1,5.50
84826,45776,16,1,0.68
84827,45777,1,1,4.86
84828,45777,1,1,5.04
84829,45777,1,1,4.98
84830,45778,10,1,5.11
84831,45779,10,1,5.24
84832,45779,16,1,0.68
84833,45780,6,1,4.77
84834,45780,2,1,5.32
84835,45781,7,1,4.55
84836,45782,4,1,5.79
84837,45783,8,1,4.65
84838,45783,13,1,5.91
84839,45784,8,1,4.85
84840,45784,16,1,0.68
84841,45785,3,1,5.35
84842,45786,11,1,5.32
84843,45787,10,1,5.25
84844,45787,2,1,5.39
84845,45788,6,1,4.85
84846,45788,3,2,5.48
84847,45788,13,1,5.75
84848,45789,9,2,5.10
84849,45789,5,1,5.51
84850,45790,13,1,5.71
84851,45790,16,1,0.68
84852,45791,1,1,4.95
84853,45791,11,2,5.29
84854,45792,3,2,5.34
84855,45793,2,1,5.47
84856,45794,9,1,5.14
84857,45794,16,1,0.66
84858,45795,14,1,5.54
84859,45795,5,2,5.37
84860,45795,2,1,5.27
84861,45795,16,1,0.68
84862,45796,11,1,5.18
84863,45797,5,1,5.45
84864,45798,1,1,5.05
84865,45798,5,1,5.36
84866,45799,9,1,5.17
84867,45800,3,2,5.31
84868,45800,11,1,5.22
84869,45800,16,1,0.68
84870,45801,12,1,5.13
84871,45801,3,2,5.42
84872,45802,3,1,5.54
84873,45802,3,1,5.32
84874,45803,3,1,5.42
84875,45804,14,1,5.53
84876,45804,8,1,4.86
84877,45805,14,1,5.31
